{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 316.0192083333333, 'xsmm_reference_best': 310.451, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre/m0.txt', 'xsmm_reference_avg': 261.4627291666667, 'xsmm_reference_best': 260.078, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre/m3.txt', 'xsmm_reference_avg': 159.99877083333337, 'xsmm_reference_best': 159.123, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre/m6.txt', 'xsmm_reference_avg': 311.12841666666674, 'xsmm_reference_best': 309.506, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m0.txt', 'xsmm_reference_avg': 1.8363750000000005, 'xsmm_reference_best': 1.773, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m3.txt', 'xsmm_reference_avg': 1.138625, 'xsmm_reference_best': 1.122, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 64, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m6.txt', 'xsmm_reference_avg': 2.0167916666666668, 'xsmm_reference_best': 1.963, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m132.txt', 'xsmm_reference_avg': 1.1250416666666667, 'xsmm_reference_best': 1.105, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m460.txt', 'xsmm_reference_avg': 1.8310000000000013, 'xsmm_reference_best': 1.685, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 12, 'a_rows': 12, 'a_size': 108, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 2.7972083333333337, 'xsmm_reference_best': 2.678, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 2.470875, 'xsmm_reference_best': 2.421, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 4.254666666666668, 'xsmm_reference_best': 4.174, 'xsmm_reference_kernel_type': 'wide-sparse'}
