{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 0.9988975142844064, 'speedup_best_over_ref': 0.9991510909961355, 'xsmm_custom_avg': 203.952, 'xsmm_custom_best': 202.613, 'xsmm_reference_avg': 203.72714583333325, 'xsmm_reference_best': 202.441}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0029154518950437317, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 0.9992115467969608, 'speedup_best_over_ref': 0.9984353803773396, 'xsmm_custom_avg': 120.59477083333331, 'xsmm_custom_best': 120.157, 'xsmm_reference_avg': 120.4996875, 'xsmm_reference_best': 119.969}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 1.001233577029859, 'speedup_best_over_ref': 1.0020929443264237, 'xsmm_custom_avg': 160.1035, 'xsmm_custom_best': 159.106, 'xsmm_reference_avg': 160.30100000000004, 'xsmm_reference_best': 159.43899999999996}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 1.002074359878905, 'speedup_best_over_ref': 1.0003754500587243, 'xsmm_custom_avg': 313.4099375, 'xsmm_custom_best': 311.626, 'xsmm_reference_avg': 314.06006250000013, 'xsmm_reference_best': 311.743}
{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.0182829525350334, 'speedup_best_over_ref': 1.0168831761831922, 'xsmm_custom_avg': 264.34233333333333, 'xsmm_custom_best': 262.806, 'xsmm_reference_avg': 269.1752916666666, 'xsmm_reference_best': 267.243}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 0.9983521470759861, 'speedup_best_over_ref': 1.000275671950379, 'xsmm_custom_avg': 160.9417500000001, 'xsmm_custom_best': 159.61, 'xsmm_reference_avg': 160.67654166666668, 'xsmm_reference_best': 159.654}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 1.0058021145912648, 'speedup_best_over_ref': 1.0046115928448105, 'xsmm_custom_avg': 313.4273958333333, 'xsmm_custom_best': 311.606, 'xsmm_reference_avg': 315.2459375, 'xsmm_reference_best': 313.043}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.0015958530457023, 'speedup_best_over_ref': 1.2273037542662115, 'xsmm_custom_avg': 1.8407083333333336, 'xsmm_custom_best': 1.465, 'xsmm_reference_avg': 1.8436458333333334, 'xsmm_reference_best': 1.798}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 1.022303174485168, 'speedup_best_over_ref': 1.1544799176107106, 'xsmm_custom_avg': 1.1209166666666668, 'xsmm_custom_best': 0.971, 'xsmm_reference_avg': 1.1459166666666665, 'xsmm_reference_best': 1.121}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 64, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 1.0220867511410432, 'speedup_best_over_ref': 1.1471277842907386, 'xsmm_custom_avg': 1.9581874999999995, 'xsmm_custom_best': 1.706, 'xsmm_reference_avg': 2.001437500000001, 'xsmm_reference_best': 1.957}
