{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 1.0021552186104883, 'speedup_best_over_ref': 1.0020600519245964, 'xsmm_custom_avg': 106.91104166666669, 'xsmm_custom_best': 106.308, 'xsmm_reference_avg': 107.14145833333338, 'xsmm_reference_best': 106.527}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 1.0026233606608779, 'speedup_best_over_ref': 1.0028857630652546, 'xsmm_custom_avg': 199.3308333333334, 'xsmm_custom_best': 198.561, 'xsmm_reference_avg': 199.85375000000008, 'xsmm_reference_best': 199.13400000000001}
{'a_cols': 648, 'a_nonzero': 3456, 'a_rows': 216, 'a_size': 139968, 'a_unique': 32, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m132.txt', 'speedup_avg_over_ref': 0.9976349582276194, 'speedup_best_over_ref': 0.9960320810468554, 'xsmm_custom_avg': 322.14018749999997, 'xsmm_custom_best': 319.815, 'xsmm_reference_avg': 321.37831249999994, 'xsmm_reference_best': 318.54600000000005}
{'a_cols': 216, 'a_nonzero': 3456, 'a_rows': 648, 'a_size': 139968, 'a_unique': 32, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m460.txt', 'speedup_avg_over_ref': 0.9997330120903288, 'speedup_best_over_ref': 0.9993799307030664, 'xsmm_custom_avg': 239.71122916666658, 'xsmm_custom_best': 238.683, 'xsmm_reference_avg': 239.64722916666668, 'xsmm_reference_best': 238.535}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.0281381209990101, 'speedup_best_over_ref': 1.0247695796470944, 'xsmm_custom_avg': 103.55835416666667, 'xsmm_custom_best': 102.747, 'xsmm_reference_avg': 106.47229166666669, 'xsmm_reference_best': 105.292}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 0.9956301451337122, 'speedup_best_over_ref': 0.9952662610961652, 'xsmm_custom_avg': 107.43110416666669, 'xsmm_custom_best': 106.681, 'xsmm_reference_avg': 106.96164583333331, 'xsmm_reference_best': 106.176}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 1.0072896217663263, 'speedup_best_over_ref': 1.0058776503476812, 'xsmm_custom_avg': 199.59883333333335, 'xsmm_custom_best': 198.889, 'xsmm_reference_avg': 201.05383333333336, 'xsmm_reference_best': 200.058}
{'a_cols': 648, 'a_nonzero': 3888, 'a_rows': 216, 'a_size': 139968, 'a_unique': 36, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 1.0010984327708992, 'speedup_best_over_ref': 1.0012501507857308, 'xsmm_custom_avg': 365.99493750000005, 'xsmm_custom_best': 364.756, 'xsmm_reference_avg': 366.39695833333326, 'xsmm_reference_best': 365.212}
{'a_cols': 216, 'a_nonzero': 3888, 'a_rows': 648, 'a_size': 139968, 'a_unique': 36, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 0.9960043258944079, 'speedup_best_over_ref': 0.9962040148747284, 'xsmm_custom_avg': 246.6156666666667, 'xsmm_custom_best': 245.786, 'xsmm_reference_avg': 245.63027083333336, 'xsmm_reference_best': 244.853}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0029154518950437317, 'mat_file': 'data/example_mats/hex/p6/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 1.0018080541615788, 'speedup_best_over_ref': 1.0010739231172523, 'xsmm_custom_avg': 118.68191666666671, 'xsmm_custom_best': 118.258, 'xsmm_reference_avg': 118.89650000000002, 'xsmm_reference_best': 118.385}
