{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m0.txt', 'xsmm_reference_avg': 5.598750000000003, 'xsmm_reference_best': 5.557, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 25, 'a_nonzero': 20, 'a_rows': 20, 'a_size': 500, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 4.834395833333334, 'xsmm_reference_best': 4.761, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 20, 'a_nonzero': 100, 'a_rows': 25, 'a_size': 500, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 6.853041666666669, 'xsmm_reference_best': 6.756, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 20, 'a_nonzero': 100, 'a_rows': 50, 'a_size': 1000, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 11.893208333333334, 'xsmm_reference_best': 11.764, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 50, 'a_nonzero': 220, 'a_rows': 25, 'a_size': 1250, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.176, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 12.83504166666667, 'xsmm_reference_best': 12.38, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 25, 'a_nonzero': 220, 'a_rows': 50, 'a_size': 1250, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.176, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 14.594145833333329, 'xsmm_reference_best': 14.384, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 25, 'a_nonzero': 100, 'a_rows': 20, 'a_size': 500, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre/m0.txt', 'xsmm_reference_avg': 6.792041666666669, 'xsmm_reference_best': 6.596, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 20, 'a_nonzero': 100, 'a_rows': 25, 'a_size': 500, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre/m3.txt', 'xsmm_reference_avg': 6.773479166666667, 'xsmm_reference_best': 6.669, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 20, 'a_nonzero': 100, 'a_rows': 50, 'a_size': 1000, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre/m6.txt', 'xsmm_reference_avg': 12.17297916666667, 'xsmm_reference_best': 12.036, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 50, 'a_nonzero': 240, 'a_rows': 25, 'a_size': 1250, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.192, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre/m132.txt', 'xsmm_reference_avg': 13.068583333333331, 'xsmm_reference_best': 12.667, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 25, 'a_nonzero': 240, 'a_rows': 50, 'a_size': 1250, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.192, 'mat_file': 'data/example_mats_small/quad/p4/gauss-legendre/m460.txt', 'xsmm_reference_avg': 14.307520833333333, 'xsmm_reference_best': 14.046, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 36, 'a_nonzero': 24, 'a_rows': 24, 'a_size': 864, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/quad/p5/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 6.0516250000000005, 'xsmm_reference_best': 5.963, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 144, 'a_rows': 36, 'a_size': 864, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p5/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 9.980916666666667, 'xsmm_reference_best': 9.838, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 144, 'a_rows': 72, 'a_size': 1728, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats_small/quad/p5/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 17.755708333333335, 'xsmm_reference_best': 17.579, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 36, 'a_nonzero': 144, 'a_rows': 24, 'a_size': 864, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p5/gauss-legendre/m0.txt', 'xsmm_reference_avg': 9.892791666666668, 'xsmm_reference_best': 9.638, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 144, 'a_rows': 36, 'a_size': 864, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p5/gauss-legendre/m3.txt', 'xsmm_reference_avg': 10.66285416666667, 'xsmm_reference_best': 10.394, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 144, 'a_rows': 72, 'a_size': 1728, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats_small/quad/p5/gauss-legendre/m6.txt', 'xsmm_reference_avg': 17.372479166666665, 'xsmm_reference_best': 17.267, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 49, 'a_nonzero': 28, 'a_rows': 28, 'a_size': 1372, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/quad/p6/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 7.263645833333332, 'xsmm_reference_best': 7.167, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 28, 'a_nonzero': 196, 'a_rows': 49, 'a_size': 1372, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14285714285714285, 'mat_file': 'data/example_mats_small/quad/p6/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 14.011541666666671, 'xsmm_reference_best': 13.885, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 28, 'a_nonzero': 196, 'a_rows': 98, 'a_size': 2744, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.07142857142857142, 'mat_file': 'data/example_mats_small/quad/p6/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 24.50410416666666, 'xsmm_reference_best': 23.77, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 49, 'a_nonzero': 196, 'a_rows': 28, 'a_size': 1372, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14285714285714285, 'mat_file': 'data/example_mats_small/quad/p6/gauss-legendre/m0.txt', 'xsmm_reference_avg': 13.546229166666668, 'xsmm_reference_best': 13.309, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 28, 'a_nonzero': 196, 'a_rows': 49, 'a_size': 1372, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14285714285714285, 'mat_file': 'data/example_mats_small/quad/p6/gauss-legendre/m3.txt', 'xsmm_reference_avg': 13.99597916666667, 'xsmm_reference_best': 13.875, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 28, 'a_nonzero': 196, 'a_rows': 98, 'a_size': 2744, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.07142857142857142, 'mat_file': 'data/example_mats_small/quad/p6/gauss-legendre/m6.txt', 'xsmm_reference_avg': 23.880958333333336, 'xsmm_reference_best': 23.762, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 4, 'a_nonzero': 48, 'a_rows': 12, 'a_size': 48, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/example_mats_small/tet/p1/shunn-ham/m0.txt', 'xsmm_reference_avg': 2.8908541666666667, 'xsmm_reference_best': 2.765, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 12, 'a_nonzero': 48, 'a_rows': 4, 'a_size': 48, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/example_mats_small/tet/p1/shunn-ham/m3.txt', 'xsmm_reference_avg': 1.6389375, 'xsmm_reference_best': 1.602, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 12, 'a_nonzero': 72, 'a_rows': 12, 'a_size': 144, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/tet/p1/shunn-ham/m6.txt', 'xsmm_reference_avg': 3.2208124999999996, 'xsmm_reference_best': 3.112, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 12, 'a_nonzero': 24, 'a_rows': 4, 'a_size': 48, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/tet/p1/shunn-ham/m132.txt', 'xsmm_reference_avg': 1.415229166666667, 'xsmm_reference_best': 1.366, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 4, 'a_nonzero': 24, 'a_rows': 12, 'a_size': 48, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/tet/p1/shunn-ham/m460.txt', 'xsmm_reference_avg': 1.542416666666666, 'xsmm_reference_best': 1.467, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 10, 'a_nonzero': 240, 'a_rows': 24, 'a_size': 240, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/example_mats_small/tet/p2/shunn-ham/m0.txt', 'xsmm_reference_avg': 6.215291666666666, 'xsmm_reference_best': 6.054, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 24, 'a_nonzero': 240, 'a_rows': 10, 'a_size': 240, 'a_unique': 28, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/example_mats_small/tet/p2/shunn-ham/m3.txt', 'xsmm_reference_avg': 3.7728125000000006, 'xsmm_reference_best': 3.632, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 24, 'a_nonzero': 360, 'a_rows': 30, 'a_size': 720, 'a_unique': 28, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/example_mats_small/tet/p2/shunn-ham/m6.txt', 'xsmm_reference_avg': 9.778770833333335, 'xsmm_reference_best': 9.547, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 3, 'a_nonzero': 18, 'a_rows': 6, 'a_size': 18, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/example_mats_small/tri/p1/williams-shunn/m0.txt', 'xsmm_reference_avg': 1.4291666666666663, 'xsmm_reference_best': 1.414, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 6, 'a_nonzero': 18, 'a_rows': 3, 'a_size': 18, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/example_mats_small/tri/p1/williams-shunn/m3.txt', 'xsmm_reference_avg': 0.9436041666666665, 'xsmm_reference_best': 0.882, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 6, 'a_nonzero': 24, 'a_rows': 6, 'a_size': 36, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.6666666666666666, 'mat_file': 'data/example_mats_small/tri/p1/williams-shunn/m6.txt', 'xsmm_reference_avg': 1.5462500000000003, 'xsmm_reference_best': 1.523, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 6, 'a_nonzero': 12, 'a_rows': 3, 'a_size': 18, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.6666666666666666, 'mat_file': 'data/example_mats_small/tri/p1/williams-shunn/m132.txt', 'xsmm_reference_avg': 0.8401666666666666, 'xsmm_reference_best': 0.826, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 3, 'a_nonzero': 12, 'a_rows': 6, 'a_size': 18, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.6666666666666666, 'mat_file': 'data/example_mats_small/tri/p1/williams-shunn/m460.txt', 'xsmm_reference_avg': 0.9613958333333329, 'xsmm_reference_best': 0.938, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 6, 'a_nonzero': 54, 'a_rows': 9, 'a_size': 54, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/example_mats_small/tri/p2/williams-shunn/m0.txt', 'xsmm_reference_avg': 2.2944791666666666, 'xsmm_reference_best': 2.237, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 9, 'a_nonzero': 54, 'a_rows': 6, 'a_size': 54, 'a_unique': 20, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/example_mats_small/tri/p2/williams-shunn/m3.txt', 'xsmm_reference_avg': 1.907375, 'xsmm_reference_best': 1.871, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 9, 'a_nonzero': 72, 'a_rows': 12, 'a_size': 108, 'a_unique': 20, 'alpha': 1.0, 'beta': 0.0, 'density': 0.6666666666666666, 'mat_file': 'data/example_mats_small/tri/p2/williams-shunn/m6.txt', 'xsmm_reference_avg': 3.1754999999999995, 'xsmm_reference_best': 3.096, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 12, 'a_nonzero': 64, 'a_rows': 6, 'a_size': 72, 'a_unique': 28, 'alpha': 1.0, 'beta': 0.0, 'density': 0.8888888888888888, 'mat_file': 'data/example_mats_small/tri/p2/williams-shunn/m132.txt', 'xsmm_reference_avg': 2.242312499999999, 'xsmm_reference_best': 2.142, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 6, 'a_nonzero': 64, 'a_rows': 12, 'a_size': 72, 'a_unique': 28, 'alpha': 1.0, 'beta': 0.0, 'density': 0.8888888888888888, 'mat_file': 'data/example_mats_small/tri/p2/williams-shunn/m460.txt', 'xsmm_reference_avg': 2.945666666666666, 'xsmm_reference_best': 2.916, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 10, 'a_nonzero': 120, 'a_rows': 12, 'a_size': 120, 'a_unique': 20, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/example_mats_small/tri/p3/williams-shunn/m0.txt', 'xsmm_reference_avg': 3.597020833333333, 'xsmm_reference_best': 3.541, 'xsmm_reference_kernel_type': 'wide-sparse'}
