{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9710855562280525, 'speedup_best_over_ref': 0.9710855562280525, 'xsmm_custom_avg': 11.4003, 'xsmm_custom_best': 11.4003, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 11.070666666666666, 'xsmm_reference_best': 11.070666666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9833975784873146, 'speedup_best_over_ref': 0.9833975784873146, 'xsmm_custom_avg': 14.4758, 'xsmm_custom_best': 14.4758, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 14.235466666666667, 'xsmm_reference_best': 14.235466666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0508113251401843, 'speedup_best_over_ref': 1.0508113251401843, 'xsmm_custom_avg': 27.5352, 'xsmm_custom_best': 27.5352, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 28.9343, 'xsmm_reference_best': 28.9343, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0793635455921669, 'speedup_best_over_ref': 1.0793635455921669, 'xsmm_custom_avg': 17.5933, 'xsmm_custom_best': 17.5933, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 18.98956666666667, 'xsmm_reference_best': 18.98956666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9978430406892296, 'speedup_best_over_ref': 0.9978430406892296, 'xsmm_custom_avg': 10.694066666666666, 'xsmm_custom_best': 10.694066666666666, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 10.671, 'xsmm_reference_best': 10.671, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9976193865471927, 'speedup_best_over_ref': 0.9976193865471927, 'xsmm_custom_avg': 17.796533333333333, 'xsmm_custom_best': 17.796533333333333, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 17.754166666666666, 'xsmm_reference_best': 17.754166666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9593938345684596, 'speedup_best_over_ref': 0.9593938345684596, 'xsmm_custom_avg': 25.05366666666667, 'xsmm_custom_best': 25.05366666666667, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 24.03633333333333, 'xsmm_reference_best': 24.03633333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 648, 'a_nonzero': 3456, 'a_rows': 216, 'a_size': 139968, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 21.373742801486802, 'speedup_best_over_ref': 21.373742801486802, 'xsmm_custom_avg': 53.28646666666667, 'xsmm_custom_best': 53.28646666666667, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 1138.9312333333332, 'xsmm_reference_best': 1138.9312333333332, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 216, 'a_nonzero': 3456, 'a_rows': 648, 'a_size': 139968, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 20.62776824073317, 'speedup_best_over_ref': 20.62776824073317, 'xsmm_custom_avg': 36.699, 'xsmm_custom_best': 36.699, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 757.0184666666667, 'xsmm_reference_best': 757.0184666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0006911031053298, 'speedup_best_over_ref': 1.0006911031053298, 'xsmm_custom_avg': 16.5436, 'xsmm_custom_best': 16.5436, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 16.555033333333334, 'xsmm_reference_best': 16.555033333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
