{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.15_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.6671928061359429, 'speedup_best_over_ref': 0.6671928061359429, 'xsmm_custom_avg': 472.625, 'xsmm_custom_best': 472.625, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 315.332, 'xsmm_reference_best': 315.332, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.25_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.896327585334864, 'speedup_best_over_ref': 0.896327585334864, 'xsmm_custom_avg': 652.459, 'xsmm_custom_best': 652.459, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 584.817, 'xsmm_reference_best': 584.817, 'xsmm_reference_cpu_freq': 2.999899, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.025_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0440803519822595, 'speedup_best_over_ref': 1.0440803519822595, 'xsmm_custom_avg': 339.10799999999995, 'xsmm_custom_best': 339.10799999999995, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 354.056, 'xsmm_reference_best': 354.056, 'xsmm_reference_cpu_freq': 2.99989, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.075_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0254334083768966, 'speedup_best_over_ref': 1.0254334083768966, 'xsmm_custom_avg': 393.105, 'xsmm_custom_best': 393.105, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 403.10299999999995, 'xsmm_reference_best': 403.10299999999995, 'xsmm_reference_cpu_freq': 2.999933, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.125_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.8363295685917281, 'speedup_best_over_ref': 0.8363295685917281, 'xsmm_custom_avg': 443.501, 'xsmm_custom_best': 443.501, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 370.913, 'xsmm_reference_best': 370.913, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_row/q_16/r_32_c_128_p_0.05_uniq_16.txt', 'size_n': 1800000, 'speedup_avg_over_ref': 1.0518542721777489, 'speedup_best_over_ref': 1.0518542721777489, 'xsmm_custom_avg': 306.04999999999995, 'xsmm_custom_best': 306.04999999999995, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 321.92, 'xsmm_reference_best': 321.92, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_row/q_16/r_64_c_128_p_0.05_uniq_16.txt', 'size_n': 1500000, 'speedup_avg_over_ref': 1.0894485088042842, 'speedup_best_over_ref': 1.0894485088042842, 'xsmm_custom_avg': 344.321, 'xsmm_custom_best': 344.321, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 375.12, 'xsmm_reference_best': 375.12, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_row/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.069153761420333, 'speedup_best_over_ref': 1.069153761420333, 'xsmm_custom_avg': 370.392, 'xsmm_custom_best': 370.392, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 396.006, 'xsmm_reference_best': 396.006, 'xsmm_reference_cpu_freq': 2.999934, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 256, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_row/q_16/r_256_c_128_p_0.05_uniq_16.txt', 'size_n': 750000, 'speedup_avg_over_ref': 0.9534526059601791, 'speedup_best_over_ref': 0.9534526059601791, 'xsmm_custom_avg': 386.23, 'xsmm_custom_best': 386.23, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 368.252, 'xsmm_reference_best': 368.252, 'xsmm_reference_cpu_freq': 2.999939, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 512, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_row/q_16/r_512_c_128_p_0.05_uniq_16.txt', 'size_n': 450000, 'speedup_avg_over_ref': 0.8756638495333203, 'speedup_best_over_ref': 0.8756638495333203, 'xsmm_custom_avg': 396.739, 'xsmm_custom_best': 396.739, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 347.40999999999997, 'xsmm_reference_best': 347.40999999999997, 'xsmm_reference_cpu_freq': 2.999895, 'xsmm_reference_kernel_type': 'wide-sparse'}
