{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m3.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.49333400940526106, 'speedup_best_over_ref': 0.49333400940526106, 'xsmm_custom_avg': 28.26786666666667, 'xsmm_custom_best': 28.26786666666667, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 13.945500000000001, 'xsmm_reference_best': 13.945500000000001, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m6.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.37363694405823317, 'speedup_best_over_ref': 0.37363694405823317, 'xsmm_custom_avg': 51.42549999999999, 'xsmm_custom_best': 51.42549999999999, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 19.214466666666667, 'xsmm_reference_best': 19.214466666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m132.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.4792930496003388, 'speedup_best_over_ref': 0.4792930496003388, 'xsmm_custom_avg': 50.376, 'xsmm_custom_best': 50.376, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 24.144866666666665, 'xsmm_reference_best': 24.144866666666665, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m460.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.32265005130077185, 'speedup_best_over_ref': 0.32265005130077185, 'xsmm_custom_avg': 72.3186, 'xsmm_custom_best': 72.3186, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 23.3336, 'xsmm_reference_best': 23.3336, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m0.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3989930735962193, 'speedup_best_over_ref': 0.3989930735962193, 'xsmm_custom_avg': 27.5227, 'xsmm_custom_best': 27.5227, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 10.981366666666666, 'xsmm_reference_best': 10.981366666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m3.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3608763568970082, 'speedup_best_over_ref': 0.3608763568970082, 'xsmm_custom_avg': 62.95, 'xsmm_custom_best': 62.95, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 22.717166666666667, 'xsmm_reference_best': 22.717166666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m6.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.34330038816583486, 'speedup_best_over_ref': 0.34330038816583486, 'xsmm_custom_avg': 102.19, 'xsmm_custom_best': 102.19, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 35.08186666666666, 'xsmm_reference_best': 35.08186666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 648, 'a_nonzero': 3456, 'a_rows': 216, 'a_size': 139968, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m132.txt', 'size_n': 81600, 'speedup_avg_over_ref': 10.951803774121855, 'speedup_best_over_ref': 10.951803774121855, 'xsmm_custom_avg': 107.76016666666666, 'xsmm_custom_best': 107.76016666666666, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 1180.1682, 'xsmm_reference_best': 1180.1682, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 216, 'a_nonzero': 3456, 'a_rows': 648, 'a_size': 139968, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m460.txt', 'size_n': 81600, 'speedup_avg_over_ref': 6.701858190609722, 'speedup_best_over_ref': 6.701858190609722, 'xsmm_custom_avg': 180.5179, 'xsmm_custom_best': 180.5179, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 1209.8053666666667, 'xsmm_reference_best': 1209.8053666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m0.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3187720388102079, 'speedup_best_over_ref': 0.3187720388102079, 'xsmm_custom_avg': 66.9652, 'xsmm_custom_best': 66.9652, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 21.346633333333333, 'xsmm_reference_best': 21.346633333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
